age,gender,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6,Symptom7,Symptom8,Symptom9,Symptom10,Symptom11,Symptom12,diseases,Description
all,both,Fever,Fatigue,Pain or Discomfort,Localized Symptoms,Gastrointestinal Symptoms,Respiratory Symptoms,Skin Changes,Urinary Symptoms,none,none,none,none,Bacterial infeation,Bacterial infections are caused by bacteria and can affect different parts of the body. Symptoms depend on the specific bacteria and the affected organ or system.
all,both,Gastrointestinal,Fever,Fatigue and Weakness,Muscle Aches and Joint Pain,Skin Lesions and Rash,Enlarged Lymph Nodes,Respiratory Symptoms,Neurological Symptoms,Liver and Spleen Enlargement,Anemia,none,none,protozoan infection,"Protozoan infections are caused by single-celled organisms and can affect the gastrointestinal tract, leading to symptoms like diarrhea and abdominal pain."
all,both,Nausea and vomiting,Diarrhea,Abdominal cramps and pain,Fever and chills,Headache,Muscle aches,Fatigue and weakness,none,none,none,none,none,food poisoning,"Food poisoning is an illness caused by consuming contaminated food, often containing bacteria, viruses, or toxins. Symptoms include nausea, vomiting, diarrhea, and abdominal pain."
middle adult,female,Abdominal pain,bloating,diarrhea,constipation,nausea,and vomiting,Fatigue and weakness,joint pain,Dermatitis herpetiformis,a chronic skin rash characterized by itchy,blistering lesions,none,celiac,"Celiac disease is an autoimmune disorder where the ingestion of gluten leads to damage in the small intestine. Symptoms can include diarrhea, weight loss, and fatigue."
all,both,Abdominal pain,including diarrhea,constipation,Bloating and abdominal distension,Excessive gas,Mucus in the stool,Anxiety or depression,none,none,none,none,none,IBS,"Irritable bowel syndrome is a functional gastrointestinal disorder characterized by abdominal pain, bloating, and changes in bowel habits without evidence of inflammation."
old adult,both,fatty stoolsIncreased frequency of bowel movements,diarrhea,Flatulence,discomfort,none,none,none,none,none,none,none,none,orlistet,"Orlistat is a medication used for weight loss. It works by preventing the absorption of dietary fats in the intestines, leading to reduced calorie intake."
all,both,Chronic constipation,Diarrhea,discomfort,Bloating and gas,Electrolyte imbalances,Dehydration,Electrolyte Disturbances,Gastrointestinal Damage,Psychological Distress,none,none,none,laxative abuse,"Laxative abuse involves the excessive use of laxatives to promote bowel movements. This behavior can lead to dependency, electrolyte imbalances, and digestive issues."
all,both,Edema (Swelling),Protein-Losing Enteropathy (PLE),Malabsorption,Ascites,Pleural Effusion,Lymphedema,Lymphedema,Skin Changes,Infections,none,none,none,lymphangiectasia,"Lymphangiectasia is a condition characterized by the dilation of lymphatic vessels, resulting in the leakage of lymph into surrounding tissues. This can lead to swelling and nutritional deficiencies."
early childhood,both,Malabsorption of Fat,Failure to Thrive,Vitamin Deficiencies,Neurological Symptoms,Liver Disease,Growth Retardation,Eye Problems,Developmental Delays,none,none,none,none,Abetalipoproteinemia,"Abetalipoproteinemia is a rare genetic disorder that impairs the body's ability to absorb dietary fats and fat-soluble vitamins, leading to neurological and gastrointestinal symptoms."
all,both,Weight Loss,Increased Heart Rate (Tachycardia),Heat Intolerance,Fatigue and Weakness,Tremors and Nervousness,Changes in Bowel Habits,Enlarged Thyroid (Goiter),Exophthalmos (Bulging Eyes),Thinning of Hair and Skin Changes,Menstrual Changes,none,none,Hyper thyroidism,"Hyperthyroidism is a condition where the thyroid gland produces an excess of thyroid hormones, leading to symptoms such as weight loss, rapid heart rate, and heat intolerance."
early childhood,both,Ear Pain,Fever,Irritability,Difficulty Sleeping,Fluid Drainage from the Ear,Hearing Loss,Headache,Decreased Appetite,Balance Problems,none,none,none,Acuteotitis media,"Acute otitis media is an infection of the middle ear, often characterized by ear pain, fever, and fluid accumulation behind the eardrum. It is common, especially in children."
all,both,Chest Pain,Difficulty Breathing,Cough,Fever,Fatigue,Swelling (Peripheral Edema),Pain Relief with Sitting Forward,Irregular Heartbeat (Arrhythmias),Pericardial Friction Rub,none,none,none,pericarditis,"Pericarditis is the inflammation of the pericardium, the sac around the heart. It can cause chest pain, especially when breathing, and may be associated with fever."
all,both,Fever,Headache,Stiff Neck (Nuchal Rigidity),Photophobia,Nausea and Vomiting,Altered Mental Status,Seizures,Decreased Appetite,Altered Sensation,none,none,none,Meningitis,"Meningitis is the inflammation of the membranes surrounding the brain and spinal cord. It can be caused by viral or bacterial infections and presents with symptoms such as severe headaches, fever, and neck stiffness."
all,both,Fever,Flank Pain,Abdominal Pain,Frequent Urination,Painful Urination,Blood in the Urine (Hematuria),Cloudy or Foul-Smelling Urine,Nausea and Vomiting,Chills and Sweats,Generalized Symptoms,none,none,pyelonephritis,"Pyelonephritis is a bacterial infection of the kidneys, often originating from a urinary tract infection. Symptoms may include back pain, fever, and urinary symptoms."
all,both,Pelvic Pain,Painful Urination (Dysuria),Urinary Frequency and Urgency,Difficulty Urinating,Blood in the Urine (Hematuria),Painful Ejaculation,Sexual Dysfunction,Fever and Chills,Generalized Symptoms,Rectal Discomfor,none,none,prostitis,"Prostatitis is inflammation of the prostate gland, leading to symptoms like pelvic pain, difficulty urinating, and sometimes fever."
all,both,Abdominal Pain,Fever,Nausea and Vomiting,Tenderness and Rigidity,Jaundice,Bloating and Gas,Chronic Symptoms,none,none,none,none,none,cholecystitis,"Cholecystitis is inflammation of the gallbladder, often associated with the presence of gallstones. Symptoms include abdominal pain, especially in the upper right side, and nausea."
all,both,Abdominal Pain,Fever and Chills,Nausea and Vomiting,Tenderness,Bloating and Indigestion,Jaundice,Clay-Colored Stools,Dark Urine,Chronic Symptoms,none,none,none,cholecgstitis,Cholelithiasis refers to the presence of gallstones in the gallbladder. These stones can cause pain and other symptoms if they block the flow of bile.
all,both,Vertigo,Nystagmus,Nausea and Vomiting,Imbalance and Unsteadiness,Tinnitus,Hearing Loss,Sensitivity to Motion,Headache,none,none,none,none,peripheral vertigo,Peripheral vertigo refers to dizziness and imbalance caused by issues with the inner ear or vestibular nerve.
all,both,Headache,Sensitivity to Light (Photophobia),Sensitivity to Sound (Phonophobia),Nausea and Vomiting,Aura,Visual Disturbances,Aura without Headache,Fatigue and Malaise,Difficulty Concentrating,none,none,none,miggraine,"Migraine is a type of headache disorder characterized by recurrent severe headaches, often accompanied by nausea, sensitivity to light, and other symptoms."
all,male,Severe Headache,Weakness or Numbness,Vision Changes,Dizziness,Seizures,Decreased Level of Consciousness,Speech Difficulty,Difficulty Swallowing,Changes in Mental Status,Respiratory Distress,none,none,Intracranial hemorrhege,"Intracranial hemorrhage is bleeding within the skull, which can be caused by various factors, including trauma, aneurysm rupture, or hypertension."
all,both,Severe Flank Pain,Pain Waves,Nausea and Vomiting,Hematuria,Urinary Urgency and Frequency,Painful Urination,Pain with Movement,Restlessness,none,none,none,none,renal colic,Renal colic is severe pain caused by the passage of a kidney stone through the urinary tract.
all,both,Sudden and Severe Testicular Pain,Swelling and Tenderness,Abdominal Pain,Nausea and Vomiting,Change in Testicular Position,Redness,Frequent Urination,Fever,none,none,none,none,Tesriculer torsion,"Testicular torsion is the twisting of the spermatic cord, leading to a sudden and severe reduction in blood flow to the testicle. It is a medical emergency."
all,both,Abdominal Pain,Heartburn,Nausea and Vomiting,Loss of Appetite,Bloating and Belching,Weight Loss,Feeling Full Quickly,Dark,Anemia,none,none,none,peptic ulcer,"A peptic ulcer is a sore that develops on the lining of the stomach, small intestine, or esophagus. It can cause abdominal pain and discomfort."
all,both,Sudden Onset of Pain,Pain Intensity,Pain Duration,Pain Triggers,Nausea and Vomiting,Difficulty Finding a Comfortable Position,Pain Relief with Movement,Pain Resolution,none,none,none,none,Biliary colic,Biliary colic is characterized by sudden and intense pain in the upper abdomen due to gallstones blocking the bile ducts.
all,both,allergic Reactions,Gastrointestinal Symptoms,Liver Damage,Kidney Damage,Cardiovascular Symptoms,Neurological Symptoms,Endocrine Disorders,Blood Disorders,Skin Reactions,Respiratory Symptoms,none,none,Drug induced uremia,"Kidney damage or failure caused by the toxic effects of certain medications, leading to impaired kidney function and elevated levels of waste products in the blood."
all,both,Unintentional Weight Loss,Increased Heart Rate (Tachycardia),Heat Intolerance,Excessive Sweating,Fatigue and Weakness,Nervousness and Anxiety,Tremors and Shakiness,Insomnia,Increased Bowel Movements,Muscle Weakness,Menstrual Irregularities,Thinning Hair,Hyper thyroidism,"A condition where the thyroid gland produces excessive thyroid hormones, resulting in symptoms such as weight loss, rapid heartbeat, and anxiety."
all,both,Vertigo,Balance Problems,Nystagmus,Hearing Loss,Tinnitus,Ear Pain,Nausea and Vomiting,Headache,none,none,none,none,Acute labyreenthties,"Inflammation of the inner ear, causing dizziness, nausea, and sometimes hearing loss."
all,both,Cough,Fever,Shortness of Breath,Chest Pain,Fatigue,Sweating and Chills,Rapid Heart Rate,Nausea and Vomiting,Confusion (especially in older old adult),none,none,none,pneumonie,"Infection of the lung tissue, typically caused by bacteria or viruses, leading to symptoms like cough, fever, and difficulty breathing."
all,both,Fever,Headache,Confusion,Seizures,Changes in Behavior,Hallucinations,Muscle Weakness,Sensitivity to Light (Photophobia),Stiff Neck,Nausea and Vomiting,none,none,Encephalitis,"Inflammation of the brain, often caused by viral infections, resulting in symptoms ranging from mild flu-like symptoms to severe neurological issues."
all,both,Pelvic Pain,Abnormal Vaginal Discharge,Painful Urination (Dysuria),Painful Intercourse (Dyspareunia),Irregular Menstrual Bleeding,Fever and Chills,Nausea and Vomiting,Pain in the Upper Abdomen,none,none,none,none,PID,"Infection of the female reproductive organs, usually resulting from sexually transmitted infections, causing pelvic pain and potential fertility issues."
old adult,both,Headache,Fever,Neurological Symptoms,Nausea and Vomiting,Neck Stiffness,Focal Symptoms,none,none,none,none,none,none,Brain abscess,"A collection of pus in the brain, often caused by bacterial or fungal infections, leading to symptoms like headaches, fever, and neurological deficits."
all,both,Diarrhea,Abdominal Pain and Cramping,Fever,Nausea and Vomiting,Dehydration,Bloody Stools,Tenesmus,Weight Loss,none,none,none,none,infectious colitis,"Inflammation of the colon due to infection, resulting in symptoms like diarrhea, abdominal pain, and fever."
old adult,both,Fatigue,Jaundice,Loss of Appetite,Nausea and Vomiting,Abdominal Pain,Dark Urine,Pale Stools,Muscle and Joint Pain,Fever,none,none,none,hepatitis,"Inflammation of the liver, commonly caused by viral infections, leading to symptoms such as jaundice, fatigue, and abdominal discomfort."
old adult,both,Chest Pain,Shortness of Breath,Nausea and Vomiting,Sweating,Light-headedness,Fatigue,Anxiety,none,none,none,none,none,myocardial infarction,"Commonly known as a heart attack, it occurs when blood flow to a part of the heart is blocked, leading to damage to the heart muscle and potentially life-threatening complications."
all,female,Headaches,Seizures,Changes in Vision,Nausea and Vomiting,Weakness,Difficulty Speaking,Changes in Behavior,none,none,none,none,none,Brain tumor,"Abnormal growth of cells in the brain, which may be benign or malignant, causing symptoms like headaches, seizures, and neurological deficits."
all,both,Nausea and Vomiting,Fatigue,Breast Tenderness,Frequent Urination,Food Cravings and Aversions,Mood Swings,Heartburn and Indigestion,Swelling,Back Pain,none,none,none,pregnancy,"The state of carrying a developing embryo or fetus in the uterus, accompanied by various physiological and hormonal changes."
all,both,Sudden,Severe Abdominal Pain,Nausea and Vomiting,Pelvic Pain,Abdominal Tenderness,Fever,Changes in Urination,Irregular Menstrual Bleeding,none,none,none,none,orarian torsion,"Twisting of the ovary, leading to a reduction in blood flow, severe pelvic pain, and a medical emergency requiring prompt intervention."
middle adult,both,Significant Weight Loss,Intense Fear of Weight Gain,Distorted Body Image,Restrictive Eating Behaviors,Preoccupation with Food and Dieting,Excessive Exercise,Physical Symptoms,Emotional and Behavioral Changes,Denial of the Severity of the Problem,none,none,none,Anorexia nervosa,"An eating disorder characterized by an intense fear of gaining weight, leading to severe food restriction, excessive exercise, and other behaviors that may result in malnutrition."
middle adult,both,Abdominal Pain,Nausea and Vomiting,Fever and Chills,Tenderness,Loss of Appetite,Rapid Heart Rate (Tachycardia),Jaundice,Steatorrhea,none,none,none,none,pencreatits,"Inflammation of the pancreas, causing abdominal pain and digestive issues, often triggered by alcohol consumption or gallstones."
middle adult,female,Nausea and Vomiting,Abdominal Pain,Feeling of Fullness,Weight Loss,Dehydration and Malnutrition,Decreased Appetite,Changes in Bowel Habit,Upper Abdominal Distension,none,none,none,none,Gastricoutlet obsrac,"Blockage in the pathway allowing stomach contents to empty into the small intestine, resulting in vomiting, abdominal pain, and difficulty eating."
all,female,Chronic Pain,Fatigue,Gastrointestinal Symptoms,Headaches,Musculoskeletal Symptoms,Mood and Mental Health Symptoms,Sleep Disturbances,Cognitive Symptoms,none,none,none,none,functional,"A disorder where the function of a bodily organ is impaired without identifiable structural abnormalities, often involving symptoms related to the digestive or nervous systems."
middle adult,both,High Blood Sugar (Hyperglycemia),Ketosis,Excessive Thirst (Polydipsia),Frequent Urination (Polyuria),Nausea and Vomiting,Fatigue and Weakness,Dry Mouth and Dry Skin,Shortness of Breath (Kussmaul Breathing),Confusion and Altered Mental Status,none,none,none,Diabetic Ketoaciesis,"A serious complication of diabetes characterized by high blood sugar levels, ketone production, and acidosis. It can lead to severe illness and requires immediate medical attention."
old adult,both,Jaundice,Fatigue and Weakness,Abdominal Pain and Swelling,Nausea and Vomiting,Loss of Appetite and Weight Loss,Confusion and Mental Changes,Easy Bruising and Bleeding,Dark Urine and Pale Stools,Itching (Pruritus),none,none,none,Lirer failure,"A condition where the liver loses its ability to function adequately, often due to chronic liver disease, infections, or acute injury."
early childhood,both,Proteinuria,Edema (Swelling),Hypoalbuminemia,Hyperlipidemia,Fatigue and Weakness,Loss of Appetite,Increased Susceptibility to Infections,Frothy Urine,none,none,none,none,Nephrotic syndrome,"A kidney disorder characterized by excessive protein loss in urine, leading to low protein levels in the blood, edema (swelling), and elevated cholesterol."
middle childhood,both,Swelling,Puffiness,Weight Gain,Decreased Urine Output,Fatigue and Weakness,Poor Wound Healing,Changes in Skin Texture,none,none,none,none,none,Nutritional edema,"Swelling due to an imbalance in fluid distribution, often associated with malnutrition or protein deficiency."
middle adult,both,Redness and Swelling,Pain and Tenderness,Warmth,Skin Lesions,Fever and Chills,Swollen Lymph Nodes,Drainage,none,none,none,none,none,cellulitis,"A bacterial skin infection that can cause redness, swelling, and pain. It typically occurs in the deeper layers of the skin."
old adult,both,Fatigue,Shortness of Breath,Swelling (Edema),Abdominal Discomfort,Palpitations,Heart Murmur,Cyanosis,Liver Congestion,none,none,none,none,Tricuspid valve,"One of the heart's four valves, located between the right atrium and right ventricle. Issues with this valve can lead to conditions such as tricuspid regurgitation or stenosis."
old adult,both,Swelling,Feeling of Heaviness,Decreased Range of Motion,Pitting Edema,Recurring Infections,Thickening and Hardening of the Skin,Delayed Wound Healing,Psychological Impact,none,none,none,none,lumphedema,"Swelling that occurs due to the accumulation of lymphatic fluid, usually in the arms or legs, often caused by damage or blockage of the lymphatic system."
all,both,Edema,Ascites,Malnutrition,Diarrhea,Abdominal pain or discomfort,Nutritional deficiencies,none,none,none,none,none,none,protenin losing,"A condition where the digestive tract loses proteins, leading to low protein levels in the body. It can result from various gastrointestinal disorders."
all,both,Physical injuries,Pain,Bruising and swelling,Difficulty breathing,Dizziness,Psychological symptoms,none,none,none,none,none,none,Trauma,"Physical injury or damage to the body caused by an external force, such as accidents, falls, or violence."
old adult,both,Shortness of breath,Fatigue and weakness,Swelling (edema),irregular heartbeat,Persistent coughing,Reduced exercise tolerance,Sudden weight gain,Loss of appetite or nausea,none,none,none,none,Heart failure,"A condition in which the heart is unable to pump blood effectively, leading to symptoms such as shortness of breath, fatigue, and fluid retention."
early childhood,both,Proteinuria,Edema (swelling),Hypoalbuminemia,Hyperlipidemia,Fatigue and weakness,Weight gain,Loss of appetite,Foamy urine,none,none,none,none,Nephrotic syndrome,"A kidney disorder characterized by excessive protein loss in urine, leading to low protein levels in the blood, edema (swelling), and elevated cholesterol."
young adult,both,Swelling,tenderness,discolored skin,Warmth,Vein prominence,heaviness,none,none,none,none,none,none,DVT,"Formation of a blood clot (thrombus) in a deep vein, usually in the legs, which can lead to complications if the clot travels to the lungs (pulmonary embolism)."
young adult,both,Swelling,discomfort,Itching,Difficulty breathing,tingling,difficulty speaking,Hoarseness,Abdominal cramping,Visible welts,hives,none,none,angioedema,"Swelling beneath the skin, often around the eyes and lips, caused by a rapid accumulation of fluid. It can be triggered by allergic reactions or other factors."
old adult,both,Fatigue and weakness,Weight gain,Swelling (edema),Thickened skin,Hair loss,Constipation,Depression and cognitive impairment,Bradycardia,cool skin,none,none,none,myxedema,"Severe hypothyroidism characterized by swelling of the skin and other tissues, leading to a puffy appearance, cold intolerance, and other symptoms."
all,both,Enlarged,disproportionate lower body,Tenderness,Easy bruising,Symmetrical swelling,Disproportionate fat distribution,Sensitivity to touch,Development of nodules,none,none,none,none,lipidema,"Chronic condition characterized by the abnormal accumulation of fat cells, usually in the legs and buttocks, leading to pain and swelling."
all,both,Pain,Redness and swelling,Blisters,Peeling skin,Skin discoloration,Scarring,Difficulty breathing,Shock,none,none,none,none,Burns,"Injury to the skin or other tissues caused by heat, electricity, chemicals, or radiation, often resulting in pain, blistering, and potential complications."
all,both,Skin reactions,Gastrointestinal symptoms,Liver damage,Kidney damage,Cardiovascular symptoms,Neurological symptoms,Blood disorders,Endocrine disturbances,Respiratory symptoms,none,none,none,Druginduced,"A condition or illness caused by the use of certain medications, which can have adverse effects on various organs and systems."
old adult,both,Infrequent bowel movements,Difficulty passing stools,Feeling of incomplete evacuation,Abdominal discomfort,Rectal discomfort,Hard stools,stool consistency changes,Rectal bleeding,Rectal prolapse,none,none,none,chronic idiopathic constipation,"Persistent constipation without an obvious underlying cause, lasting for an extended period."
old adult,both,Changes in bowel habits,Rectal bleeding,Abdominal discomfort,Unexplained weight loss,Fatigue,Iron deficiency anemia,Feeling of incomplete evacuation,Nausea and vomiting,none,none,none,none,colorextal cancer,"Cancer that originates in the colon or rectum, with symptoms varying depending on the location and stage of the cancer."
old adult,both,Abdominal pain,Abdominal distension,Nausea and vomiting,Constipation,inability to pass gas,Abdominal tenderness,Dehydration,none,none,none,none,none,Bowel obstruction,"Blockage in the intestines that prevents the normal flow of food, liquids, and gases, causing abdominal pain, vomiting, and constipation."
early childhood,both,Chronic diarrhea,Malabsorption,Abdominal pain and cramping,Bloody stools,Vomiting,Failure to thrive,Fatigue and weakness,Electrolyte imbalances,Intestinal inflammation,none,none,none,Autoimmune nteropathy,"A rare autoimmune disorder where the immune system mistakenly attacks and damages the lining of the small intestine, leading to malabsorption and digestive issues."
all,both,Failure to pass meconium,Constipation,Abdominal distension,Vomiting,Delayed growth and development,Enterocolitis,none,none,none,none,none,none,Hirschsprung,"A congenital condition where certain nerve cells are absent in the large intestine, leading to difficulty passing stool and intestinal blockage, especially in infants."
old adult,both,Pain during bowel movements,Rectal bleeding,Anal itching,Anal itching,Visible tear,Constipation,Sphincter spasm,Feeling of incomplete evacuation,none,none,none,none,colonic or reactal fissures,"Small tears or cuts in the lining of the colon or rectum, often causing pain during bowel movements."
early childhood,both,Unexplained weight loss,Increased heart rate,Tremors,Heat intolerance,Excessive sweating,Nervousness and irritability,Fatigue and weakness,Muscle weakness,Difficulty sleeping,Frequent bowel movements,Changes in menstrual patterns,Eye problems (Graves' ophthalmopathy),Hyper thyroidism,"Overactivity of the thyroid gland, resulting in excessive production of thyroid hormones, leading to symptoms such as weight loss, rapid heartbeat, and anxiety."
old adult,both,Muscle weakness,cramps,Fatigue,Abnormal heart rhythms (arrhythmias),Frequent urination,increased thirst,Muscle paralysis,Tingling,Respiratory distress,Elevated blood pressure,none,none,hypokalemia,"Low levels of potassium in the blood, which can lead to muscle weakness, cramps, and various other symptoms."
young adult,both,Fatigue,Joint pain and swelling,Fever,Skin rash,Sensitivity to sunlight,nose ulcers,Raynaud's phenomenon,Hair loss,Chest pain,Shortness of breath,Kidney involvement,Neurological symptoms,systemic  lupus erythematosay,"An autoimmune disease where the immune system mistakenly attacks various tissues and organs, leading to inflammation and a range of symptoms affecting the joints, skin, kidneys, and other systems."
old adult,both,Severe pain,Swelling and inflammation,Visible lump or swelling,Bleeding,Itching,irritation,Difficulty with bowel movements,Feeling of incomplete evacuation,none,none,none,none,thrombosed hemorrboids,"Swollen and painful veins in the rectum or anus that have developed blood clots, causing discomfort and pain."
early childhood,both,Failure to pass meconium,Abdominal distension,Vomiting,Poor feeding and weight loss,Signs of dehydration,Abdominal pain and discomfort,Difficulty breathing,none,none,none,none,none,meconiumileus,"A bowel obstruction in newborns caused by thickened meconium (a baby's first stool), often associated with cystic fibrosis."
old adult,both,Abdominal distension,Abdominal pain and discomfort,Nausea and vomiting,Difficulty passing gas,absent bowel sounds,Loss of appetite,Abnormalities in electrolyte levels,Fever,none,none,none,none,ileus,"A condition characterized by a lack of movement in the intestines, leading to abdominal distension, pain, and the inability to pass gas or stool."
old adult,both,Abdominal pain,Fever and chills,Nausea and vomiting,Change in bowel habits,Bloating and gas,Tenderness,sensitivity,Rectal bleeding,Urinary symptoms,none,none,none,diverticolitis,"Inflammation or infection of small pouches (diverticula) that can form in the walls of the intestines, particularly the colon."
old adult,both,Abdominal pain,Changes in bowel habits,Bloating and gas,Mucus in the stool,Urgency,Incomplete evacuation,Abdominal distension,Fatigue and disrupted sleep,Anxiety and depression,none,none,none,Irritoble bowel syndrome,"A functional gastrointestinal disorder characterized by abdominal pain, bloating, and changes in bowel habits without any evidence of underlying damage to the digestive tract."
old adult,female,Sudden numbness,weakness,Trouble speaking,Confusion,Vision problems,loss of balance,Severe headache,Trouble walking,Facial drooping,none,none,none,stroke,"A stroke occurs when the blood supply to part of the brain is interrupted or reduced, leading to damage or death of brain cells. This can result in various neurological symptoms such as sudden weakness, numbness, confusion, difficulty speaking, and severe headache."
old adult,both,Fatigue,Weight gain,Cold intolerance,Dry skin and hair,Constipation,Muscle aches and stiffness,Depression and mood changes,Memory problems and brain fog,Menstrual irregularities,Hoarseness,Swelling,Slow heart rate,Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormones. This can lead to symptoms such as fatigue, weight gain, cold intolerance, dry skin, and changes in hair and nail texture."
middle adult,both,Skin changes,Raynaud's phenomenon,Gastrointestinal symptoms,Joint pain and stiffness,Shortness of breath,Fatigue,Digital ulcers,Kidney involvement,Heart involvement,Dry eyes and mouth,none,none,scleroderma,"Scleroderma is a group of rare autoimmune diseases that involve the hardening and tightening of the skin and connective tissues. It can also affect internal organs, leading to a range of symptoms such as skin thickening, joint pain, and organ dysfunction."
young adult,both,Fatigue,Numbness,Muscle weakness,Balance and coordination problems,Blurred,Optic neuritis,Dizziness and vertigo,Electric shock sensations,Cognitive changes,Bladder and bowel dysfunction,Sexual dysfunction,Heat sensitivity,multiple sclerosis,"Multiple sclerosis (MS) is a chronic autoimmune disease that affects the central nervous system. It causes the immune system to attack the protective covering of nerve fibers, leading to communication problems between the brain and the rest of the body. Symptoms can vary but may include fatigue, difficulty walking, numbness or tingling, and problems with coordination."
old adult,both,allergic reactions,Gastrointestinal disturbances,Liver toxicity,Kidney damage,Cardiovascular effects,Neurological symptoms,Respiratory symptoms,Endocrine disturbances,Musculoskeletal effects,Dermatological reactions,none,none,Druginduced,"Drug-induced conditions refer to health issues or adverse effects caused by the use of certain medications. These can vary widely depending on the specific drug involved and may include allergic reactions, organ damage, or other side effects."
old adult,both,Thirst,Dry mouth and dry skin,Decreased urine output,Fatigue and weakness,Dizziness and lightheadedness,Headache,Confusion and irritability,Sunken eyes,Rapid heartbeat and breathing,Low blood pressure,Shock,none,Debydration,"Dehydration occurs when the body loses more fluids than it takes in, leading to an insufficient amount of water to carry out normal bodily functions. Symptoms may include increased thirst, dry mouth, dark yellow urine, fatigue, and dizziness."
early childhood,both,Severe abdominal pain,Vomiting,Bloody stools,Lethargy,Palpable mass,Fever,none,none,none,none,none,none,intassussception,"Intussusception is a medical emergency in which one segment of the intestine invaginates, or telescopes, into another segment. This can lead to obstruction of the bowel, causing severe abdominal pain, vomiting, and bloody stools, especially in infants and young children."
all,both,Fever,Sweating,Fatigue,Joint Pain,Headache,Chills,Swollen Lymph Nodes,Gastrointestinal,Respiratory,Neurological,none,none,Brucellosis,a bacterial infection caused by various species of the Brucella bacteria. It primarily affects animals but can be transmitted to humans through the consumption of contaminated animal products or direct contact with infected animals
all,both,Abdominal Pain,Nausea,Bloating,Belching,Weight Loss,Loss of Appetite,Fatigue,Heartburn,Bad Breath,Complications,Vomiting,none,Helicobacter pylori,"(H. pylori) is a type of bacteria that can infect the stomach and small intestine. While H. pylori infection is common and can affect people of all ages and genders, it is more prevalent in certain populations."
all,both,Fatigue,Jaundice,Abdominal Pain,Nausea,Vomiting,Appetite Loss,Weight Loss,Dark Urine,Pale-Colored Stools,Swelling,none,none,Chronic hepatitis,"Chronic hepatitis refers to long-term inflammation of the liver, which can be caused by various factors, including viral infections, autoimmune diseases, or prolonged exposure to certain toxins. The most common viruses associated with chronic hepatitis are hepatitis B (HBV) and hepatitis C (HCV)."
all,both,Abdominal Pain,Heartburn,Nausea,Vomiting,Loss of Appetite,Weight Loss,Bloating,Bloody Stools,Vomiting Blood,none,none,none,Peptic ulcer,"Peptic ulcer disease refers to the formation of open sores or ulcers in the lining of the stomach, small intestine, or esophagus. These ulcers can result from the erosion of the protective lining by stomach acid."
young adult,both,Upper Abdominal Pain,Nausea,Vomiting,Rapid Pulse,Fever,Low Blood Pressure,Jaundice,Tender Abdomen,none,none,none,none,Acute pancreatitis,"Acute pancreatitis is a sudden inflammation of the pancreas, a gland located behind the stomach that plays a crucial role in digestion. This condition can range from mild to severe and is typically characterized by upper abdominal pain"
old adult,female,Abdominal Pain,Tenderness,Fever,Nausea,Jaundice,Pain Aggravated,Murphy's Sign,none,none,none,none,none,Acute cholecystitis,"Acute cholecystitis is inflammation of the gallbladder, typically caused by the presence of gallstones blocking the cystic duct."
all,both,Abdominal Pain,Diarrhea,Weight Loss,Fatigue,Fever,Joint Pain,Rectal Bleeding,Reduced Appetite,Nutritional Deficiencies,Skin Problems,Eye Inflammation,Mouth Sores,Inflammatory Bowel,Inflammatory Bowel Disease (IBD) is a term that encompasses two main conditions: Crohn's disease and ulcerative colitis. Both conditions involve chronic inflammation of the gastrointestinal tract and can cause a range of symptoms.
all,both,Abdominal Pain,Nausea,Vomiting,Loss of Appetite,Indigestion,Hematemesis,Melena,Fullness,Heartburn,none,none,none,Acute gastritis,"Acute gastritis is inflammation of the stomach lining that occurs suddenly and is typically of short duration. It can be caused by various factors, such as irritants, infections, or certain medications"
all,female,Fever,Flank Pain,Abdominal Pain,Frequent Urination,Painful Urination,Foul-Smelling Urine,Blood in Urine,Nausea,Fatigue,Mental Confusion,none,none,Acute pyelonephritis,"Acute pyelonephritis is a bacterial infection of the kidneys, usually caused by bacteria ascending from the urinary tract. It is a serious condition that requires prompt medical attention."
all,both,Fever,Headache,Abdominal Pain,Diarrhea,Constipation,Rose Spots,Fatigue,Loss of Appetite,Joint Pain,Muscle Pain,Cough,none,Typhoid fever,Typhoid fever is a bacterial infection caused by the bacterium Salmonella typhi. It is transmitted through the ingestion of contaminated food or water.
all,both,Diarrhea,Fever,Nausea,Headache,Muscle Pain,Abdominal Pain,Dehydration,Bloody Stools,none,none,none,none,salmonella infection,"Salmonella infection, also known as salmonellosis, is caused by the bacteria Salmonella. It is a common foodborne illness and can also be transmitted through contaminated water or contact with animals"
old adult,both,Abdominal Pain,Diarrhea,Weight Loss,Fatigue,Fever,Joint Pain,Rectal Bleeding,Perianal,Reduced Appetite,Nutritional Deficiencies,Skin Problems,Eye Inflammation,Crohn's disease,"Crohn's disease is a chronic inflammatory bowel disease that can affect any part of the digestive tract, leading to inflammation, pain, and various complications."
old adult,both,Diarrhea,Abdominal Pain,Rectal Bleeding,Urgency,Tenesmus,Weight Loss,Fatigue,Joint Pain,Skin Lesions,Eye Inflammation,Fever,none,ulcerative colitis,Ulcerative colitis is a chronic inflammatory bowel disease that primarily affects the colon and rectum. It is characterized by inflammation and ulcers in the lining of the large intestine.
